time_s,sensor_id,axis,acceleration_mps2,velocity_mps
0.8300,STN_A,Z,0.333562,0.004103
0.8400,STN_A,Z,0.210989,0.005072
0.8500,STN_A,Z,-0.144173,0.003029
0.8600,STN_A,Z,-0.197615,0.000615
0.8700,STN_A,Z,-0.020417,0.000184
0.8800,STN_A,Z,-0.026245,-0.000142
0.8900,STN_A,Z,-0.329176,-0.003118
0.9000,STN_A,Z,0.132891,-0.001503
0.9100,STN_A,Z,0.072865,-0.000936
0.9200,STN_A,Z,0.031157,-0.001237
0.9300,STN_A,Z,-0.046436,-0.002534
0.9400,STN_A,Z,0.241347,-0.001223
0.9500,STN_A,Z,0.303419,0.000132
0.9600,STN_A,Z,0.252755,0.000907
0.9700,STN_A,Z,0.200198,0.000975
0.9800,STN_A,Z,0.244067,0.001254
0.9900,STN_A,Z,0.246445,0.001315
1.0000,STN_A,Z,0.206454,0.000861
1.0100,STN_A,Z,0.254694,0.000856
1.0200,STN_A,Z,0.258646,0.000829
1.0300,STN_A,Z,0.195375,0.000171
1.0400,STN_A,Z,0.357355,0.001230
1.0500,STN_A,Z,0.335719,0.002237
1.0600,STN_A,Z,0.314331,0.002964
1.0700,STN_A,Z,0.198941,0.002500
1.0800,STN_A,Z,0.146702,0.001632
1.0900,STN_A,Z,0.081232,0.000237
1.1000,STN_A,Z,0.273765,0.001165
1.1100,STN_A,Z,0.291249,0.002927
1.1200,STN_A,Z,0.140523,0.003743
1.1300,STN_A,Z,0.067070,0.004054
1.1400,STN_A,Z,-0.039813,0.003515
1.1500,STN_A,Z,-0.323012,0.000195
1.1600,STN_A,Z,-0.247544,-0.001880
1.1700,STN_A,Z,-0.030805,-0.001308
1.1800,STN_A,Z,-0.071599,-0.000778
1.1900,STN_A,Z,0.030136,0.000917
1.2000,STN_A,Z,-0.216742,0.000087
1.2100,STN_A,Z,-0.188048,-0.000691
1.2200,STN_A,Z,-0.226272,-0.002077
1.2300,STN_A,Z,-0.079201,-0.002113
1.2400,STN_A,Z,0.014888,-0.001307
1.2500,STN_A,Z,-0.086574,-0.001974
1.2600,STN_A,Z,-0.023240,-0.002780
1.2700,STN_A,Z,0.091111,-0.003101
1.2800,STN_A,Z,0.026327,-0.005078
1.2900,STN_A,Z,0.489470,-0.003208
1.3000,STN_A,Z,0.555015,-0.001100
1.3100,STN_A,Z,0.470893,-0.000338
1.3200,STN_A,Z,0.781701,0.003104
1.3300,STN_A,Z,0.705031,0.005526
1.3400,STN_A,Z,0.432056,0.004961
1.3500,STN_A,Z,0.418616,0.004541
1.3600,STN_A,Z,0.405242,0.004358
1.3700,STN_A,Z,0.343218,0.003732
1.3800,STN_A,Z,0.285082,0.003135
1.3900,STN_A,Z,0.208763,0.002396
1.4000,STN_A,Z,0.185241,0.001688
1.4100,STN_A,Z,0.292480,0.002395
1.4200,STN_A,Z,0.173022,0.002050
1.4300,STN_A,Z,0.082054,0.000930
1.4400,STN_A,Z,0.167287,0.000591
1.4500,STN_A,Z,0.074987,-0.001057
1.4600,STN_A,Z,0.262878,-0.001227
1.4700,STN_A,Z,0.209678,-0.002367
1.4800,STN_A,Z,0.355152,-0.002589
1.4900,STN_A,Z,0.594523,-0.001183
1.5000,STN_A,Z,0.586628,-0.000564
1.5100,STN_A,Z,0.730584,0.000552
1.5200,STN_A,Z,0.710217,0.000955
1.5300,STN_A,Z,0.847241,0.002180
1.5400,STN_A,Z,0.875825,0.003335
1.5500,STN_A,Z,1.017168,0.005827
1.5600,STN_A,Z,0.771618,0.005861
1.5700,STN_A,Z,0.758265,0.005726
1.5800,STN_A,Z,0.711832,0.005363
1.5900,STN_A,Z,0.669775,0.005084
1.6000,STN_A,Z,0.589708,0.004488
1.6100,STN_A,Z,0.765806,0.006536
1.6200,STN_A,Z,0.474386,0.006134
1.6300,STN_A,Z,0.342286,0.004759
1.6400,STN_A,Z,0.392354,0.004038
1.6500,STN_A,Z,0.134478,0.001017
1.6600,STN_A,Z,0.306822,-0.000348
1.6700,STN_A,Z,0.409862,-0.000168
1.6800,STN_A,Z,0.558940,0.001604
1.6900,STN_A,Z,0.391401,0.001908
1.7000,STN_A,Z,0.657367,0.005098
1.7100,STN_A,Z,0.250029,0.004227
1.7200,STN_A,Z,0.374093,0.004974
1.7300,STN_A,Z,0.135115,0.003679
1.7400,STN_A,Z,0.164814,0.002997
1.7500,STN_A,Z,0.122913,0.002111
1.7600,STN_A,Z,-0.070331,-0.000379
1.7700,STN_A,Z,0.061697,-0.001658
1.7800,STN_A,Z,0.243183,-0.001115
1.7900,STN_A,Z,0.175844,-0.001183
1.8000,STN_A,Z,0.329942,0.000158
1.8100,STN_A,Z,0.358219,0.001775
1.8200,STN_A,Z,0.367737,0.003451
1.8300,STN_A,Z,0.072281,0.002101
1.8400,STN_A,Z,0.296657,0.003495
1.8500,STN_A,Z,0.130130,0.003855
1.8600,STN_A,Z,-0.034143,0.003208
1.8700,STN_A,Z,0.133289,0.005261
1.8800,STN_A,Z,-0.258157,0.004289
1.8900,STN_A,Z,-0.454296,0.002092
1.9000,STN_A,Z,-0.305923,0.002025
1.9100,STN_A,Z,-0.668065,-0.001137
1.9200,STN_A,Z,-0.521334,-0.002478
1.9300,STN_A,Z,-0.663942,-0.004607
1.9400,STN_A,Z,-0.349839,-0.003366
1.9500,STN_A,Z,-0.395615,-0.002508
1.9600,STN_A,Z,-0.388898,-0.001363
1.9700,STN_A,Z,-0.504093,-0.001803
1.9800,STN_A,Z,-0.487461,-0.002370
1.9900,STN_A,Z,-0.528874,-0.003878
2.0000,STN_A,Z,-0.526563,-0.005391
2.0100,STN_A,Z,-0.234253,-0.004125
2.0200,STN_A,Z,-0.227373,-0.003089
2.0300,STN_A,Z,-0.137969,-0.001522
2.0400,STN_A,Z,-0.321546,-0.002351
2.0500,STN_A,Z,-0.251336,-0.003025
2.0600,STN_A,Z,-0.090098,-0.002391
2.0700,STN_A,Z,-0.141349,-0.002016
2.0800,STN_A,Z,0.072103,0.000988
2.0900,STN_A,Z,0.019626,0.003875
2.1000,STN_A,Z,-0.223094,0.004433
2.1100,STN_A,Z,-0.487155,0.002165
2.1200,STN_A,Z,-0.722432,-0.002420
2.1300,STN_A,Z,-0.545115,-0.005187
2.1400,STN_A,Z,-0.420530,-0.006318
2.1500,STN_A,Z,-0.065028,-0.003512
2.1600,STN_A,Z,-0.126316,-0.001073
2.1700,STN_A,Z,-0.186442,0.000605
2.1800,STN_A,Z,-0.317497,0.000272
2.1900,STN_A,Z,-0.362680,-0.000854
2.2000,STN_A,Z,-0.469058,-0.003521
2.2100,STN_A,Z,-0.327382,-0.004764
2.2200,STN_A,Z,-0.022006,-0.002982
2.2300,STN_A,Z,-0.203609,-0.003217
2.2400,STN_A,Z,0.055639,-0.000877
2.2500,STN_A,Z,-0.070947,0.000199
2.2600,STN_A,Z,-0.098112,0.000650
2.2700,STN_A,Z,0.014955,0.002094
2.2800,STN_A,Z,-0.300621,0.000365
2.2900,STN_A,Z,-0.364088,-0.002139
2.3000,STN_A,Z,-0.116566,-0.001998
2.3100,STN_A,Z,-0.189408,-0.002332
2.3200,STN_A,Z,-0.003964,-0.000421
2.3300,STN_A,Z,-0.064246,0.001105
2.3400,STN_A,Z,-0.113328,0.002076
2.3500,STN_A,Z,-0.324628,0.000928
2.3600,STN_A,Z,-0.489128,-0.001591
2.3700,STN_A,Z,-0.201717,-0.001017
2.3800,STN_A,Z,-0.237860,-0.000131
2.3900,STN_A,Z,-0.356871,-0.000018
2.4000,STN_A,Z,-0.391420,0.000140
2.4100,STN_A,Z,-0.408111,0.000471
2.4200,STN_A,Z,-0.676942,-0.002051
2.4300,STN_A,Z,-0.481578,-0.002396
2.4400,STN_A,Z,-0.504788,-0.002915
2.4500,STN_A,Z,-0.662712,-0.005263
2.4600,STN_A,Z,-0.326288,-0.004331
2.4700,STN_A,Z,-0.423540,-0.004403
2.4800,STN_A,Z,-0.297194,-0.003315
2.4900,STN_A,Z,-0.105901,-0.000353
2.5000,STN_A,Z,-0.308225,0.000750
2.5100,STN_A,Z,-0.376493,0.001307
2.5200,STN_A,Z,-0.572852,0.000409
2.5300,STN_A,Z,-0.442708,0.001343
2.5400,STN_A,Z,-0.669924,0.000654
2.5500,STN_A,Z,-0.798346,-0.000478
2.5600,STN_A,Z,-0.835283,-0.001516
2.5700,STN_A,Z,-0.954757,-0.003276
2.5800,STN_A,Z,-0.945588,-0.004691
2.5900,STN_A,Z,-0.946882,-0.005540
2.6000,STN_A,Z,-0.771801,-0.004415
2.6100,STN_A,Z,-0.849933,-0.003857
2.6200,STN_A,Z,-0.826099,-0.002793
2.6300,STN_A,Z,-1.020302,-0.003497
2.6400,STN_A,Z,-0.894398,-0.002728
2.6500,STN_A,Z,-1.011882,-0.003236
2.6600,STN_A,Z,-1.103634,-0.004597
2.6700,STN_A,Z,-1.128466,-0.006286
2.6800,STN_A,Z,-1.160128,-0.008394
2.6900,STN_A,Z,-0.843437,-0.007550
2.7000,STN_A,Z,-0.837714,-0.006672
2.7100,STN_A,Z,-0.769105,-0.005203
2.7200,STN_A,Z,-0.724230,-0.003314
2.7300,STN_A,Z,-0.805240,-0.002297
2.7400,STN_A,Z,-0.871713,-0.002065
2.7500,STN_A,Z,-0.916045,-0.002152
2.7600,STN_A,Z,-1.075739,-0.003820
2.7700,STN_A,Z,-1.066112,-0.005056
2.7800,STN_A,Z,-1.039314,-0.005994
2.7900,STN_A,Z,-0.968531,-0.006254
2.8000,STN_A,Z,-0.852902,-0.005737
2.8100,STN_A,Z,-1.105776,-0.008530
2.8200,STN_A,Z,-0.753788,-0.008884
2.8300,STN_A,Z,-0.775648,-0.010319
2.8400,STN_A,Z,-0.492085,-0.009929
2.8500,STN_A,Z,-0.134589,-0.007064
2.8600,STN_A,Z,0.004709,-0.003701
2.8700,STN_A,Z,-0.203398,-0.003370
2.8800,STN_A,Z,-0.028321,-0.001941
2.8900,STN_A,Z,0.130165,0.000478
2.9000,STN_A,Z,0.043561,0.001608
2.9100,STN_A,Z,-0.155977,0.000804
2.9200,STN_A,Z,-0.100996,0.000681
2.9300,STN_A,Z,-0.180470,-0.000343
2.9400,STN_A,Z,-0.068650,-0.000061
2.9500,STN_A,Z,-0.196020,-0.000701
2.9600,STN_A,Z,-0.127768,-0.000395
2.9700,STN_A,Z,-0.095642,0.000359
2.9800,STN_A,Z,-0.217245,0.000079
2.9900,STN_A,Z,-0.220681,-0.000067
3.0000,STN_A,Z,-0.220113,-0.000010
3.0100,STN_A,Z,-0.282691,-0.000442
3.0200,STN_A,Z,-0.283066,-0.000685
3.0300,STN_A,Z,-0.349253,-0.001259
3.0400,STN_A,Z,-0.265657,-0.000841
3.0500,STN_A,Z,-0.332410,-0.001035
3.0600,STN_A,Z,-0.320733,-0.000967
3.0700,STN_A,Z,-0.427557,-0.001826
3.0800,STN_A,Z,-0.372291,-0.001948
3.0900,STN_A,Z,-0.276345,-0.001057
3.1000,STN_A,Z,-0.364798,-0.001031
3.1100,STN_A,Z,-0.424842,-0.001827
3.1200,STN_A,Z,-0.467163,-0.003311
3.1300,STN_A,Z,-0.402316,-0.004681
3.1400,STN_A,Z,-0.285480,-0.005412
3.1500,STN_A,Z,-0.110732,-0.004709
3.1600,STN_A,Z,-0.056685,-0.003935
3.1700,STN_A,Z,0.107338,-0.002032
3.1800,STN_A,Z,0.157331,-0.000131
3.1900,STN_A,Z,0.037698,0.000293
3.2000,STN_A,Z,0.103175,0.001176
3.2100,STN_A,Z,0.087969,0.001942
3.2200,STN_A,Z,0.033642,0.002178
3.2300,STN_A,Z,-0.120672,0.001196
3.2400,STN_A,Z,-0.090609,0.000811
3.2500,STN_A,Z,-0.145964,0.000111
3.2600,STN_A,Z,-0.068831,0.000524
3.2700,STN_A,Z,-0.218453,-0.000328
3.2800,STN_A,Z,-0.139711,-0.000275
3.2900,STN_A,Z,-0.200203,-0.000886
3.3000,STN_A,Z,-0.237742,-0.001891
3.3100,STN_A,Z,-0.144003,-0.001879
3.3200,STN_A,Z,-0.084109,-0.001060
3.3300,STN_A,Z,-0.061647,0.000040
3.3400,STN_A,Z,-0.071820,0.001101
3.3500,STN_A,Z,-0.225423,0.000595
3.3600,STN_A,Z,-0.276606,-0.000442
3.3700,STN_A,Z,-0.275581,-0.001488
3.3800,STN_A,Z,-0.202032,-0.001813
3.3900,STN_A,Z,-0.169088,-0.001778
3.4000,STN_A,Z,-0.219156,-0.002283
3.4100,STN_A,Z,-0.123800,-0.001907
3.4200,STN_A,Z,-0.070109,-0.000992
3.4300,STN_A,Z,-0.093185,-0.000366
3.4400,STN_A,Z,-0.030958,0.000772
3.4500,STN_A,Z,-0.153321,0.000531
3.4600,STN_A,Z,-0.279244,-0.001062
3.4700,STN_A,Z,-0.216704,-0.002082
3.4800,STN_A,Z,-0.092377,-0.001799
3.4900,STN_A,Z,-0.013195,-0.000735
3.5000,STN_A,Z,-0.126740,-0.000771
3.5100,STN_A,Z,-0.070989,-0.000341
3.5200,STN_A,Z,-0.129746,-0.000587
3.5300,STN_A,Z,-0.083050,-0.000449
3.5400,STN_A,Z,-0.065575,0.000019
3.5500,STN_A,Z,-0.062162,0.000862
3.5600,STN_A,Z,-0.191608,0.000700
3.5700,STN_A,Z,-0.132473,0.001460
3.5800,STN_A,Z,-0.248643,0.001240
3.5900,STN_A,Z,-0.353546,0.000278
3.6000,STN_A,Z,-0.415925,-0.001029
3.6100,STN_A,Z,-0.402842,-0.002062
3.6200,STN_A,Z,-0.310612,-0.002231
3.6300,STN_A,Z,-0.389515,-0.003323
3.6400,STN_A,Z,-0.344843,-0.004343
3.6500,STN_A,Z,-0.205759,-0.004454
3.6600,STN_A,Z,-0.133179,-0.004469
3.6700,STN_A,Z,0.002320,-0.003787
3.6800,STN_A,Z,0.124902,-0.002452
3.6900,STN_A,Z,0.129221,-0.001796
3.7000,STN_A,Z,0.213647,-0.001050
3.7100,STN_A,Z,0.255128,-0.000422
3.7200,STN_A,Z,0.261966,-0.000050
3.7300,STN_A,Z,0.333057,0.000792
3.7400,STN_A,Z,0.408621,0.002204
3.7500,STN_A,Z,0.327289,0.002655
3.7600,STN_A,Z,0.192103,0.001622
3.7700,STN_A,Z,0.242626,0.001019
3.7800,STN_A,Z,0.310161,0.000905
3.7900,STN_A,Z,0.277760,0.000429
3.8000,STN_A,Z,0.345399,0.000607
3.8100,STN_A,Z,0.330268,0.000525
3.8200,STN_A,Z,0.448407,0.001448
3.8300,STN_A,Z,0.371021,0.001510
3.8400,STN_A,Z,0.430151,0.002133
3.8500,STN_A,Z,0.436677,0.002752
3.8600,STN_A,Z,0.368784,0.002609
3.8700,STN_A,Z,0.330131,0.002085
3.8800,STN_A,Z,0.339672,0.001797
3.8900,STN_A,Z,0.347270,0.001732
3.9000,STN_A,Z,0.428672,0.002685
3.9100,STN_A,Z,0.324382,0.002876
3.9200,STN_A,Z,0.307928,0.003107
3.9300,STN_A,Z,0.223812,0.002721
3.9400,STN_A,Z,0.226916,0.002600
3.9500,STN_A,Z,0.154811,0.001990
3.9600,STN_A,Z,0.164675,0.001774
3.9700,STN_A,Z,0.106517,0.001187
3.9800,STN_A,Z,0.104496,0.000797
3.9900,STN_A,Z,0.116327,0.000679
4.0000,STN_A,Z,0.132970,0.000912
4.0100,STN_A,Z,0.113201,0.001071
4.0200,STN_A,Z,0.091192,0.001179
4.0300,STN_A,Z,0.070807,0.001297
4.0400,STN_A,Z,0.041057,0.001296
4.0500,STN_A,Z,0.031585,0.001453
4.0600,STN_A,Z,-0.004206,0.001657
4.0700,STN_A,Z,-0.106945,0.001246
4.0800,STN_A,Z,-0.074368,0.001425
4.0900,STN_A,Z,-0.136038,0.001219
4.1000,STN_A,Z,-0.273151,-0.000137
4.1100,STN_A,Z,-0.297658,-0.001416
4.1200,STN_A,Z,-0.173890,-0.001134
4.1300,STN_A,Z,-0.160525,-0.000454
4.1400,STN_A,Z,-0.181010,0.000298
4.1500,STN_A,Z,-0.289770,0.000141
4.1600,STN_A,Z,-0.327331,-0.000382
4.1700,STN_A,Z,-0.371022,-0.001384
4.1800,STN_A,Z,-0.352460,-0.002152
4.1900,STN_A,Z,-0.313956,-0.002398
4.2000,STN_A,Z,-0.282769,-0.002216
4.2100,STN_A,Z,-0.254721,-0.001755
4.2200,STN_A,Z,-0.223282,-0.000968
4.2300,STN_A,Z,-0.297279,-0.000956
4.2400,STN_A,Z,-0.297026,-0.000968
4.2500,STN_A,Z,-0.288132,-0.000945
4.2600,STN_A,Z,-0.339720,-0.001438
4.2700,STN_A,Z,-0.335499,-0.001833
4.2800,STN_A,Z,-0.326094,-0.002000
4.2900,STN_A,Z,-0.259746,-0.001522
4.3000,STN_A,Z,-0.282176,-0.001320
4.3100,STN_A,Z,-0.311515,-0.001464
4.3200,STN_A,Z,-0.355907,-0.002193
4.3300,STN_A,Z,-0.279936,-0.002301
4.3400,STN_A,Z,-0.245604,-0.002236
4.3500,STN_A,Z,-0.234542,-0.002229
4.3600,STN_A,Z,-0.199358,-0.002059
4.3700,STN_A,Z,-0.196114,-0.002114
4.3800,STN_A,Z,-0.156559,-0.002083
4.3900,STN_A,Z,-0.090623,-0.001612
4.4000,STN_A,Z,-0.092804,-0.001430
4.4100,STN_A,Z,-0.055334,-0.001091
4.4200,STN_A,Z,-0.045270,-0.000800
4.4300,STN_A,Z,-0.060730,-0.000811
4.4400,STN_A,Z,0.020367,-0.000131
4.4500,STN_A,Z,-0.015941,0.000163
4.4600,STN_A,Z,-0.050640,-0.000009
4.4700,STN_A,Z,-0.048113,-0.000231
4.4800,STN_A,Z,-0.037044,-0.000385
4.4900,STN_A,Z,-0.068182,-0.000908
4.5000,STN_A,Z,0.026570,-0.000482
4.5100,STN_A,Z,0.019328,-0.000093
4.5200,STN_A,Z,-0.001453,0.000062
4.5300,STN_A,Z,-0.003972,0.000180
4.5400,STN_A,Z,0.019149,0.000505
4.5500,STN_A,Z,-0.051517,0.000135
4.5600,STN_A,Z,-0.023767,0.000134
4.5700,STN_A,Z,-0.037287,0.000119
4.5800,STN_A,Z,-0.012607,0.000505
4.5900,STN_A,Z,-0.079014,0.000345
4.6000,STN_A,Z,-0.066259,0.000447
4.6100,STN_A,Z,-0.100858,0.000266
4.6200,STN_A,Z,-0.156281,-0.000396
4.6300,STN_A,Z,-0.121504,-0.000622
4.6400,STN_A,Z,-0.115347,-0.000678
4.6500,STN_A,Z,-0.114447,-0.000689
4.6600,STN_A,Z,-0.097330,-0.000501
4.6700,STN_A,Z,-0.124938,-0.000588
4.6800,STN_A,Z,-0.122330,-0.000705
4.6900,STN_A,Z,-0.113490,-0.000760
4.7000,STN_A,Z,-0.095178,-0.000621
4.7100,STN_A,Z,-0.101553,-0.000555
4.7200,STN_A,Z,-0.100422,-0.000510
4.7300,STN_A,Z,-0.094123,-0.000465
4.7400,STN_A,Z,-0.127617,-0.000817
4.7500,STN_A,Z,-0.104386,-0.000998
4.7600,STN_A,Z,-0.064570,-0.000804
4.7700,STN_A,Z,-0.063077,-0.000633
4.7800,STN_A,Z,-0.059785,-0.000482
4.7900,STN_A,Z,-0.052475,-0.000302
4.8000,STN_A,Z,-0.070964,-0.000394
4.8100,STN_A,Z,-0.064503,-0.000494
4.8200,STN_A,Z,-0.047354,-0.000466
4.8300,STN_A,Z,-0.049843,-0.000507
4.8400,STN_A,Z,-0.041161,-0.000529
4.8500,STN_A,Z,-0.030702,-0.000527
4.8600,STN_A,Z,-0.022169,-0.000534
4.8700,STN_A,Z,-0.017964,-0.000586
4.8800,STN_A,Z,0.006872,-0.000435
4.8900,STN_A,Z,0.028888,-0.000098
4.9000,STN_A,Z,0.023711,0.000164
4.9100,STN_A,Z,0.021189,0.000401
4.9200,STN_A,Z,-0.000840,0.000426
4.9300,STN_A,Z,-0.015815,0.000306
4.9400,STN_A,Z,-0.018120,0.000195
4.9500,STN_A,Z,-0.031119,0.000002
4.9600,STN_A,Z,-0.029535,-0.000140
4.9700,STN_A,Z,-0.023371,-0.000182
4.9800,STN_A,Z,-0.025210,-0.000216
4.9900,STN_A,Z,-0.019277,-0.000208
5.0000,STN_A,Z,-0.011577,-0.000132
5.0100,STN_A,Z,-0.016951,-0.000152
5.0200,STN_A,Z,-0.026740,-0.000295
5.0300,STN_A,Z,0.000858,-0.000188
5.0400,STN_A,Z,-0.008310,-0.000197
5.0500,STN_A,Z,0.010272,-0.000057
5.0600,STN_A,Z,-0.004111,-0.000088
5.0700,STN_A,Z,0.002657,-0.000092
5.0800,STN_A,Z,-0.000954,-0.000175
5.0900,STN_A,Z,0.017286,-0.000079
5.1000,STN_A,Z,0.015821,0.000010
5.1100,STN_A,Z,0.023817,0.000216
5.1200,STN_A,Z,0.016473,0.000350
5.1300,STN_A,Z,0.003727,0.000380
5.1400,STN_A,Z,-0.015706,0.000220
5.1500,STN_A,Z,-0.026965,-0.000017
5.1600,STN_A,Z,-0.004894,-0.000005
5.1700,STN_A,Z,-0.021277,-0.000133
5.1800,STN_A,Z,-0.005571,-0.000089
5.1900,STN_A,Z,-0.017970,-0.000172
5.2000,STN_A,Z,-0.013204,-0.000219
5.2100,STN_A,Z,0.000801,-0.000157
5.2200,STN_A,Z,0.001290,-0.000119
5.2300,STN_A,Z,0.006648,-0.000077
5.2400,STN_A,Z,-0.003701,-0.000171
5.2500,STN_A,Z,0.004121,-0.000218
5.2600,STN_A,Z,0.024002,-0.000099
5.2700,STN_A,Z,0.028365,0.000065
5.2800,STN_A,Z,0.026359,0.000223
5.2900,STN_A,Z,0.013224,0.000258
5.3000,STN_A,Z,0.020388,0.000356
5.3100,STN_A,Z,-0.001078,0.000229
5.3200,STN_A,Z,-0.013352,-0.000018
5.3300,STN_A,Z,-0.001225,-0.000142
5.3400,STN_A,Z,0.005585,-0.000190
5.3500,STN_A,Z,0.014036,-0.000161
5.3600,STN_A,Z,0.021384,-0.000053
5.3700,STN_A,Z,0.025646,0.000090
5.3800,STN_A,Z,0.019588,0.000153
5.3900,STN_A,Z,0.019963,0.000223
5.4000,STN_A,Z,0.015698,0.000258
5.4100,STN_A,Z,0.006659,0.000208
5.4200,STN_A,Z,0.005344,0.000160
5.4300,STN_A,Z,-0.004332,0.000026
5.4400,STN_A,Z,-0.002534,-0.000086
5.4500,STN_A,Z,0.009273,-0.000070
5.4600,STN_A,Z,0.006041,-0.000091
5.4700,STN_A,Z,0.015442,-0.000040
5.4800,STN_A,Z,0.014522,-0.000018
5.4900,STN_A,Z,0.011308,-0.000052
5.5000,STN_A,Z,0.019595,-0.000025
5.5100,STN_A,Z,0.028431,0.000081
5.5200,STN_A,Z,0.025687,0.000156
5.5300,STN_A,Z,0.019292,0.000179
5.5400,STN_A,Z,0.019415,0.000221
5.5500,STN_A,Z,0.018920,0.000273
5.5600,STN_A,Z,0.008660,0.000249
5.5700,STN_A,Z,0.003819,0.000217
5.5800,STN_A,Z,-0.002680,0.000150
5.5900,STN_A,Z,-0.004210,0.000084
5.6000,STN_A,Z,-0.005958,0.000015
5.6100,STN_A,Z,-0.013161,-0.000114
5.6200,STN_A,Z,-0.003637,-0.000144
5.6300,STN_A,Z,0.002752,-0.000100
5.6400,STN_A,Z,0.004842,-0.000041
5.6500,STN_A,Z,0.006594,0.000030
5.6600,STN_A,Z,0.005222,0.000082
5.6700,STN_A,Z,-0.005987,0.000014
5.6800,STN_A,Z,0.003215,0.000037
5.6900,STN_A,Z,0.001142,0.000044
5.7000,STN_A,Z,-0.000817,0.000041
5.7100,STN_A,Z,-0.005154,-0.000003
5.7200,STN_A,Z,-0.002675,-0.000018
5.7300,STN_A,Z,-0.002583,-0.000045
5.7400,STN_A,Z,-0.004136,-0.000091
5.7500,STN_A,Z,0.004202,-0.000059
5.7600,STN_A,Z,0.000907,-0.000068
5.7700,STN_A,Z,0.007754,-0.000029
5.7800,STN_A,Z,0.005699,-0.000025
